English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
go,"to leave, person",intransitive verb,go,برو,Please don't go!,لطفا نروید,,
go,"to leave, bus, train",intransitive verb,go,برو,What time does this train go?,این قطار چه زمانی می رود؟,,
go,to progress,intransitive verb,go,برو,I hope everything goes well for you in the new job.,امیدوارم همه چیز برای شما در کار جدید خوب باشد.,,
go,to become,intransitive verb,go,برو,Carla went white with fear.,کارلا با ترس سفید رفت.,,
go,to lead,intransitive verb,go,برو,The path goes to the church.,مسیر به کلیسا می رود,,
go,to extend,intransitive verb,go,برو,The water went up to my waist.,آب به کمر من رفت.,,
go,to pass time,intransitive verb,go,برو,Time goes by quickly when you're having fun.,"زمانی که شما سرگرم کننده هستید، به سرعت به سرعت می رود.",,
go,to be left,intransitive verb,go,برو,Only three more exams to go now!,فقط سه آزمون دیگر برای رفتن در حال حاضر!,,
go,to function,intransitive verb,go,برو,Is the motor going?,آیا موتور رفتن است؟,,
go,to fit,intransitive verb,go,برو,Your luggage won't go in the car trunk.,چمدان شما در تنه ماشین نمی رود,,
go,to be sold,intransitive verb,go,برو,The painting went for $1.5 million.,نقاشی به مبلغ 1.5 میلیون دلار رفت.,,
go,to go to the toilet,intransitive verb,go,برو,She had bladder problems and needed to go all the time.,او مشکلات مثانه داشت و نیاز به تمام وقت داشت.,,
go,to say,intransitive verb,go,برو,How does the song go?,آهنگ چگونه می رود؟,,
go,to be the rule,intransitive verb,go,برو,Anything goes in that household.,هر چیزی در آن خانواده می رود,,
go,to die,intransitive verb,go,برو,"When I go, I don't want a big funeral.","وقتی بروم، من یک مراسم تشییع زیادی را نمی خواهم.",,
go,to be consumed,intransitive verb,go,برو,Almost half of my salary goes to taxes.,تقریبا نیمی از حقوق من به مالیات می رسد.,,
go,to move quickly,intransitive verb,go,برو,This motorbike can really go.,این موتورسیکلت واقعا می تواند برود.,,
go,to disappear,intransitive verb,go,برو,"When she got back home, her husband was gone.","وقتی او به خانه برگشت، شوهرش رفته بود.",,
go,to cease to function,intransitive verb,go,برو,My voice has gone.,صدای من رفته است,,
go,to dispose of,intransitive verb,go,برو,All your old clothes have to go if you want to buy more.,همه لباس های قدیمی شما باید بروند اگر بخواهید بیشتر بخرید.,,
go,to have a place,intransitive verb,go,برو,Where do these plates go?,این صفحات کجا هستند؟,,
go,to be,intransitive verb,go,برو,I won't let my children go hungry.,من اجازه نخواهم داد فرزندانم گرسنه شوند,,
go,to be available,intransitive verb,go,برو,I'll have whatever's going.,من هر چه می رویم,,
go,to continue,intransitive verb,go,برو,How many years has the choir been going?,چند سال بود که کور رفت؟,,
go,"to sound; with ""off""",intransitive verb,go,برو,The alarm goes off if someone forces the door.,هشدار می رود اگر کسی درب را مجبور کند.,,
go,"to be destined, inheritance",intransitive verb,go,برو,My house will go to my son when I die.,"خانه من وقتی که من می میرم، به پسرم بروم.",,
go,to be destined,intransitive verb,go,برو,First prize went to a graphic designer.,جایزه اول به یک طراح گرافیک رفت.,,
go,to match,intransitive verb,go,برو,Pink and orange don't really go.,صورتی و نارنجی واقعا نمی روند.,,
go,to travel,transitive verb,go,برو,We went 70 miles in one day.,ما در یک روز 70 مایل رفتیم.,,
go,to make the sound of,transitive verb,go,برو,"The champagne cork went ""pop.""","کرک شامپاین ""پاپ"" رفت.",,
go,to express future intention,auxiliary verb,go,برو,Don't touch that! - I wasn't going to.,آن را لمس نکن! - من نمی خواستم,,
go,energy,noun,go,برو,He was full of go and new ideas.,او پر از ایده های برو و جدید بود.,,
go,try,noun,go,برو,Can I have another go?,آیا می توانم یکی دیگر بروم؟,,
go,turn,noun,go,برو,It's the yellow piece's go.,این قطعه زرد است.,,
or,indicating alternative,conjunction,or,یا,Do you want the chicken or the beef?,آیا مرغ یا گوشت گاو را می خواهید؟,,
or,"indicating alternative, in negative constructions",conjunction,or,یا,Your comment wasn't funny or nice.,نظر شما خنده دار یا خوب نبود.,,
by,indicating agent or cause,preposition,by,توسط,The bridge was destroyed by the flood waters.,پل توسط آب های سیل تخریب شد.,,
by,indicating author or creator,preposition,by,توسط,We're reading a book by Octavio Paz in Spanish class.,ما در حال خواندن یک کتاب توسط Octavio Paz در کلاس اسپانیایی هستیم.,,
by,indicating location,preposition,by,توسط,The mayor built his house by the park.,شهردار خانه خود را توسط پارک ساخت.,,
by,indicating way or path,preposition,by,توسط,The cowboy came by the old buffalo trail.,کابوی به دنبال پیاده روی بوفالو قدیمی بود.,,
by,indicating movement near,preposition,by,توسط,We drove by your house yesterday.,ما دیروز توسط خانه خود سوار شدیم.,,
by,indicating short visit,preposition,by,توسط,I’ll stop by the store and get some eggs.,من از فروشگاه متوقف می شوم و تخم ها را دریافت می کنم.,,
by,indicating final destination,preposition,by,توسط,We’re going to go by my mom’s house for lunch on Saturday.,ما در روز شنبه به خانه مادرم می رویم.,,
by,indicating time limit,preposition,by,توسط,"Since I wasn't home by 10, my dad will ground me.","از آنجا که من 10 ساله نبودم، پدرم مرا زمین خواهد کرد.",,
by,indicating time span,preposition,by,توسط,By day he's a tailor and by night he's a dancer.,به روز او خیاط و شب او یک رقصنده است.,,
by,indicating means,preposition,by,توسط,The energy produced by fusion is emitted as light.,انرژی تولید شده توسط فیوژن به عنوان نور منتشر می شود.,,
by,"indicating means, of transportation",preposition,by,توسط,Would you rather go by car or by train?,آیا می خواهید با ماشین یا قطار بروید؟,,
by,according to,preposition,by,توسط,It's noon by my watch.,این ظهر توسط ساعت من است.,,
by,"mathematics, multiplication",preposition,by,توسط,Multiply three by twelve.,ضرب سه تا دوازده,,
by,"mathematics, division",preposition,by,توسط,Ten divided by five is two.,ده تقسیم بر پنج نفر است.,,
by,in compass directions,preposition,by,توسط,The wind is blowing east by southeast.,باد از جنوب شرقی به شرق نفوذ می کند.,,
by,in measurements,preposition,by,توسط,The new deck will measure ten feet by eight feet.,عرشه جدید ده فوت را با هشت پا اندازه گیری می کند.,,
by,indicating rate or amount,preposition,by,توسط,Are you paid by the hour or by the job?,آیا شما تا ساعت یا کار پرداخت می کنید؟,,
by,"indicating rate or amount, with percentages",preposition,by,توسط,The price has gone up by 50%.,قیمت 50٪ افزایش یافته است.,,
by,with gerund,preposition,by,توسط,She ended by thanking everyone who had helped.,"او با تشکر از همه کسانی که کمک کرده بودند، به پایان رسید.",,
by,nearby,adverb,by,توسط,Is the police station close by?,آیا ایستگاه پلیس نزدیک است؟,,
by,past,adverb,by,توسط,Our neighbor passed by without saying hello.,همسایه ما بدون گفتن سلام به تصویب رسید.,,
by,on a short visit,adverb,by,توسط,I'll stop by later.,بعدا متوقف خواهم شد,,
